model_period,variables,coefficents,CI_lower,CI_upper,st_error,exp_coef,exp_CI_lower,exp_CI_upper,coefficents_formatted,coefficents_exp_formatted
Pre,quarter_3,0.10309367548195056,0.07774813472785601,0.12843921623604512,0.012931635965771286,1.1085952524067015,1.0808503957056683,1.137052304871755," 0.10 [ 0.08,  0.13]","1.11 [1.08, 1.14]"
Pre,quarter_4,0.024196827095650204,-0.0014173704577131602,0.04981102464901357,0.013068708280052539,1.0244919458212636,0.9985836335373937,1.0510724508217524," 0.02 [ 0.00,  0.05]","1.02 [1.00, 1.05]"
Pre,weekend_1,0.04259327356042289,0.020722396732636976,0.0644641503882088,0.011158815672277963,1.0435133840432371,1.0209385964051605,1.066587340817145," 0.04 [ 0.02,  0.06]","1.04 [1.02, 1.07]"
Pre,arrival_time_06_12,0.029425168274823343,0.002665971202140998,0.05618436534750569,0.013652902442981342,1.0298623662107567,1.0026695280634939,1.0577926860763793," 0.03 [ 0.00,  0.06]","1.03 [1.00, 1.06]"
Pre,arrival_time_12_16,0.08412004810167018,0.054304094403846065,0.11393600179949429,0.015212500807672263,1.0877594694303705,1.0558056179230166,1.1206804010600697," 0.08 [ 0.05,  0.11]","1.09 [1.06, 1.12]"
Pre,arrival_time_16_22,0.06637267397985432,0.03551329022435119,0.09723205773535744,0.015744872864459764,1.0686248916580943,1.036151418721374,1.1021160985143155," 0.07 [ 0.04,  0.10]","1.07 [1.04, 1.10]"
Pre,num_MAJORS_RESUS_scaled,-0.15480262520960142,-0.18188631317262094,-0.1277189372465819,0.013818462061880832,0.8565842289324619,0.8336961152946517,0.8801007079138147,"-0.15 [-0.18, -0.13]","0.86 [0.83, 0.88]"
Pre,num_elsewhere_scaled,-0.018568695415243332,-0.047043746968853786,0.009906356138367118,0.014528354489275329,0.9816026406746124,0.9540456600716566,1.0099555865145933,"-0.02 [-0.05,  0.01]","0.98 [0.95, 1.01]"
Post,quarter_2,0.31509176298559755,0.2895646551883408,0.3406188707828543,0.013024273914526673,1.3703850558116863,1.3358458078773057,1.405817340682544," 0.32 [ 0.29,  0.34]","1.37 [1.34, 1.41]"
Post,quarter_3,0.4135662506907667,0.3877062726895127,0.4394262286920207,0.01319410877201531,1.5122010684433733,1.4735968850642993,1.551816575196886," 0.41 [ 0.39,  0.44]","1.51 [1.47, 1.55]"
Post,quarter_4,0.12332718263590582,0.09991189139604423,0.14674247387576742,0.01194679668838735,1.1312544872295693,1.105073547298588,1.158055695030816," 0.12 [ 0.10,  0.15]","1.13 [1.11, 1.16]"
Post,weekend_1,0.016637746701033573,-0.0025579659276132316,0.03583345932968038,0.009793910898394124,1.0167769248073368,0.9974453028794704,1.0364832155067973," 0.02 [ 0.00,  0.04]","1.02 [1.00, 1.04]"
Post,arrival_time_06_12,0.0071466043733335914,-0.017917243516524375,0.03221045226319156,0.012787912475718128,1.007172202293437,0.9822423159148698,1.032734823817679," 0.01 [-0.02,  0.03]","1.01 [0.98, 1.03]"
Post,arrival_time_12_16,0.11735247919477729,0.09021613198850854,0.14448882640104602,0.013845329516418052,1.1245157282413416,1.0944107953268654,1.1554487843702956," 0.12 [ 0.09,  0.14]","1.12 [1.09, 1.16]"
Post,arrival_time_16_22,0.12121851485880136,0.09317035106440447,0.14926667865319826,0.014310550609928165,1.1288715606278832,1.0976487049676196,1.1609825571944035," 0.12 [ 0.09,  0.15]","1.13 [1.10, 1.16]"
Post,num_MAJORS_RESUS_scaled,-0.11698511873081871,-0.14193561467726074,-0.09203462278437667,0.012730078788818761,0.8895984314186313,0.8676771203589158,0.9120735704718498,"-0.12 [-0.14, -0.09]","0.89 [0.87, 0.91]"
Post,num_elsewhere_scaled,-0.1586357641826015,-0.18539826096791479,-0.13187326739728822,0.013654586000769636,0.8533071073845946,0.8307733533583241,0.8764520630923632,"-0.16 [-0.19, -0.13]","0.85 [0.83, 0.88]"
Pre + Post,quarter_2,0.11785177384533475,0.10224172177342103,0.13346182591724848,0.00796445863038496,1.1250773331204091,1.107651182779068,1.1427776408142092," 0.12 [ 0.10,  0.13]","1.13 [1.11, 1.14]"
Pre + Post,quarter_3,0.21270353359244318,0.196580864221621,0.22882620296326536,0.008226002874540419,1.2370178626342176,1.217233747558069,1.2571235356774633," 0.21 [ 0.20,  0.23]","1.24 [1.22, 1.26]"
Pre + Post,quarter_4,0.04581926958537672,0.030231503057282404,0.061407036113471036,0.007953088246033415,1.046885189864022,1.0306931149435663,1.063331640491881," 0.05 [ 0.03,  0.06]","1.05 [1.03, 1.06]"
Pre + Post,weekend_1,0.005386563841751761,-0.0073652975607392,0.018138425244242723,0.006506171288388981,1.0054010974604661,0.992661759774147,1.018303925603719," 0.01 [-0.01,  0.02]","1.01 [0.99, 1.02]"
Pre + Post,arrival_time_06_12,-0.011545710230747644,-0.027741557284189727,0.0046501368226944395,0.008263339112959659,0.9885206857065348,0.9726397059685749,1.004660965487347,"-0.01 [-0.03,  0.00]","0.99 [0.97, 1.00]"
Pre + Post,arrival_time_12_16,0.11604044556333774,0.09810829001742827,0.13397260110924722,0.009149227071189082,1.1230412932524643,1.1030822314350355,1.143361492378862," 0.12 [ 0.10,  0.13]","1.12 [1.10, 1.14]"
Pre + Post,arrival_time_16_22,0.12993717534000754,0.11146560275486903,0.14840874792514605,0.009424444903498188,1.1387568390660452,1.1179152901379106,1.1599869417294724," 0.13 [ 0.11,  0.15]","1.14 [1.12, 1.16]"
Pre + Post,num_MAJORS_RESUS_scaled,-0.2552356281188541,-0.27431007047543066,-0.23616118576227754,0.009732037173658968,0.7747339273546263,0.7600963552796126,0.7896533827918782,"-0.26 [-0.27, -0.24]","0.77 [0.76, 0.79]"
Pre + Post,num_elsewhere_scaled,-0.12027999152124018,-0.13977746891685686,-0.10078251412562349,0.009947875343327892,0.8866721412767932,0.8695517161555113,0.9041296469315129,"-0.12 [-0.14, -0.10]","0.89 [0.87, 0.90]"
Pre + Post,post_Covid_1,-0.07278302471236685,-0.08941924454433206,-0.056146804880401635,0.008488023230625457,0.9298025523168563,0.9144621099469581,0.9454003363191134,"-0.07 [-0.09, -0.06]","0.93 [0.91, 0.95]"
Post-SDEC,quarter_2,-0.04419648229222235,-0.07405592473465865,-0.01433703984978606,0.015234689350398158,0.9567659514364645,0.9286197595754426,0.9857652460966768,"-0.04 [-0.07, -0.01]","0.96 [0.93, 0.99]"
Post-SDEC,quarter_4,-0.01494491342703197,-0.04195769304654111,0.012067866192477173,0.013782283670813602,0.9851662075385088,0.9589103482898066,1.012140976689599,"-0.01 [-0.04,  0.01]","0.99 [0.96, 1.01]"
Post-SDEC,weekend_1,0.03540256982068349,0.007837323084160217,0.06296781655720676,0.014064159828422577,1.036036701968892,1.0078681152909819,1.0649925635525095," 0.04 [ 0.01,  0.06]","1.04 [1.01, 1.06]"
Post-SDEC,arrival_time_06_12,-0.023770859280008466,-0.06115439857377659,0.013612680013759655,0.019073584815152075,0.9765094422004883,0.94067798922314,1.0137057543933987,"-0.02 [-0.06,  0.01]","0.98 [0.94, 1.01]"
