model_period,variables,st_error,CI_lower,CI_upper,N,4 hours,8 hours
Pre,(Intercept),0.1257488960575913,0.309124628551022,0.5062858819316713,808,-0.9208178632080751,NA
Pre,quarter_2,0.09389164981095809,0.7698646123690259,1.112680714191777,808,-0.07778122420541853,NA
Pre,quarter_3,0.0822819981426914,1.0427139245070813,1.4398702252784148,808,0.20148079491216017,NA
Pre,weekend_1,0.07322885245043352,0.8024741260067167,1.0694348714548807,808,-0.07489056991329557,NA
Pre,time_of_report_12,0.12058683392762978,3.362062644667113,5.397246196529601,808,1.4434527688893133,NA
Pre,time_of_report_16,0.12159175342030089,3.0846515610124627,4.971500333338348,808,1.3594671128162295,NA
Pre,time_of_report_22,0.13323412457866912,1.5181960702369002,2.561474404950573,808,0.675342549999236,NA
Pre,(Intercept),0.037866919543597964,5.382827498981222,6.244223210172732,808,NA,1.7579648743513312
Pre,quarter_2,0.03623595165394016,0.8891943753342832,1.0249246636608158,808,NA,-0.04648231216854829
Pre,quarter_3,0.032247009580860506,1.0894140856436876,1.2362194295417346,808,NA,0.14860162677626845
Pre,weekend_1,0.028774813444382423,0.8701743759866389,0.9740840762528323,808,NA,-0.08241562635430713
Pre,time_of_report_12,0.0358381345807646,1.6710574855493052,1.9231319845496309,808,NA,0.5834721586410746
Pre,time_of_report_16,0.036677279634237475,1.473335464592012,1.7011723617960686,808,NA,0.45922855598429935
Pre,time_of_report_22,0.04522499951694715,0.6177456028863669,0.7375909773653648,808,NA,-0.39276782238091895
Post,(Intercept),0.1166101596245144,0.17440248783339804,0.27554541535908994,1460,-1.5123655365314643,NA
Post,quarter_1,0.11200718308879436,0.4655983223959238,0.722586661247573,1460,-0.5424570947755767,NA
Post,quarter_2,0.08647568237563712,1.3245334881202648,1.859384860278366,1460,0.4496179858164464,NA
Post,quarter_3,0.08123326040616774,1.8906731884165628,2.6000698735152135,1460,0.7946365767302311,NA
Post,weekend_1,0.0669246005770195,0.7580823213482805,0.9855830845548779,1460,-0.14433903067780982,NA
Post,time_of_report_12,0.10963225016233406,3.240785579671013,4.982990990627552,1460,1.3862943611199092,NA
Post,time_of_report_16,0.10965866439098308,3.232815518548798,4.971252077607378,1460,1.3838876210893263,NA
Post,time_of_report_22,0.11754601130908608,1.8233963970842533,2.892179678810328,1460,0.8278797745301039,NA
Post,(Intercept),0.034385536836428116,3.416493829544822,3.9094979725699424,1460,NA,1.2964576041457807
Post,quarter_1,0.0366745905630351,0.6090033929887734,0.7031718974090421,1460,NA,-0.42385303779752886
Post,quarter_2,0.03186064735759265,1.0166556231698884,1.1519084390201708,1460,NA,0.07894731265589229
Post,quarter_3,0.029554282542425366,1.4196959268348133,1.5940877241781932,1460,NA,0.40825938166922426
Post,weekend_1,0.025864394336901995,0.7858073933634446,0.8696616101300958,1460,NA,-0.1901305115969021
Post,time_of_report_12,0.03322099107997564,1.9216470966855954,2.1889425479115348,1460,NA,0.7180568934152952
Post,time_of_report_16,0.033248700895574274,1.911807602608888,2.1779710214389834,1460,NA,0.7129788991883597
Post,time_of_report_22,0.03996588194458449,0.8018065200098229,0.9378132768643186,1460,NA,-0.14247333000018333
Pre + Post,(Intercept),0.07854976378681894,0.2223779925865641,0.30260448344078983,2752,-1.3467818335078208,NA
Pre + Post,quarter_1,0.061908295515736705,0.8295898467581816,1.0575300234307514,2752,-0.06525190181053203,NA
Pre + Post,quarter_2,0.05895878776362442,1.1153289587862643,1.405414971457436,2752,0.22470419293299748,NA
Pre + Post,quarter_3,0.052852393224901255,1.552206468386426,1.909624146143024,2752,0.5428172245284498,NA
Pre + Post,weekend_1,0.044306840191802005,0.8341828684582423,0.9924391615560431,2752,-0.0938568618495009,NA
Pre + Post,time_of_report_12,0.07550730660461352,3.8232460167487554,5.1411203078656165,2752,1.4868759941219973,NA
Pre + Post,time_of_report_16,0.07567968494026689,3.7294569395757935,5.018394758294885,2752,1.4623936643608038,NA
Pre + Post,time_of_report_22,0.08118801379418891,2.0463048949432756,2.813696457661665,2752,0.8735288333723258,NA
Pre + Post,(Intercept),0.02302570399349594,3.957610841354419,4.331445199011093,2752,NA,1.4209718401724074
Pre + Post,quarter_1,0.022637470098029234,0.8602293825422102,0.9400565164463152,2752,NA,-0.10615338820668574
Pre + Post,quarter_2,0.022381201252366603,0.9924640330490146,1.0834731172102132,2752,NA,0.036328560590390926
Pre + Post,quarter_3,0.019995126660780682,1.3159044376112141,1.4231976543010039,2752,NA,0.31367532794570896
Pre + Post,weekend_1,0.01728921638623037,0.840970772849854,0.8999427419540499,2752,NA,-0.1392181818355124
Pre + Post,time_of_report_12,0.022353527288834375,1.9796046615832559,2.1609005006679074,2752,NA,0.7265995463774317
Pre + Post,time_of_report_16,0.02250890244438301,1.8977704831479463,2.0728340210450527,2752,NA,0.6846911856449474
Pre + Post,time_of_report_22,0.027103250697884697,0.8029091437624462,0.8929143301276297,2752,NA,-0.16635008561356543
Post-SDEC,(Intercept),0.25208231330546854,0.06338450477506526,0.1709335803850699,724,-2.23461000024299,NA
Post-SDEC,quarter_1,0.15433752403710696,0.7391010690390613,1.3550941112580446,724,-0.004322790602153699,NA
Post-SDEC,quarter_2,0.18125207151794706,0.6364995369571624,1.2977051037078855,724,-0.094895155163746,NA
Post-SDEC,weekend_1,0.1354656429611609,0.9203642047830608,1.5664973531378796,724,0.18700790717327398,NA
Post-SDEC,time_of_report_12,0.2503162424474492,2.4704456008954025,6.626918222661031,724,1.3737155789130227,NA
Post-SDEC,time_of_report_16,0.24602095277942526,3.0002501472930203,7.912460269381536,724,1.5581446180465364,NA
Post-SDEC,time_of_report_22,0.26176040781672855,1.6445890808457164,4.61633123794414,724,0.9932517730102728,NA
Post-SDEC,(Intercept),0.06699669585919585,1.596912673892907,2.076647985816469,724,NA,0.6012814256995715
Post-SDEC,quarter_1,0.046601741353464864,0.8556192449953719,1.027140252056294,724,NA,-0.06499751919231965
Post-SDEC,quarter_2,0.054926532564070686,0.779432628527803,0.9667370009693677,724,NA,-0.14138994157049775
Post-SDEC,weekend_1,0.04396781747590285,0.8254492343966591,0.980739715144834,724,NA,-0.10505767086182421
Post-SDEC,time_of_report_12,0.06624336302966785,2.779161407343255,3.603545423459588,724,NA,1.1505720275985318
Post-SDEC,time_of_report_16,0.0658585369491623,2.922178554126572,3.7832700336012306,724,NA,1.1999647829281086
Post-SDEC,time_of_report_22,0.07597601386550873,1.1781772357301314,1.5871317207180804,724,NA,0.3123746850418902
