model_period,time_window,variables,coefficents,st_error,CI_lower,CI_upper,N,exp_coef,coefficents_formatted
Pre,4,(Intercept),-0.9208178632080751,0.1257488960575913,0.309124628551022,0.5062858819316713,808,0.3981932402715035,"0.40 [0.31, 0.51]"
Pre,4,quarter_2,-0.07778122420541853,0.09389164981095809,0.7698646123690259,1.112680714191777,808,0.9251668085082463,"0.93 [0.77, 1.11]"
Pre,4,quarter_3,0.20148079491216017,0.0822819981426914,1.0427139245070813,1.4398702252784148,808,1.223212744929013,"1.22 [1.04, 1.44]"
Pre,4,weekend_1,-0.07489056991329557,0.07322885245043352,0.8024741260067167,1.0694348714548807,808,0.927845014933742,"0.93 [0.80, 1.07]"
Pre,4,time_of_report_12,1.4434527688893133,0.12058683392762978,3.362062644667113,5.397246196529601,808,4.235294091936596,"4.24 [3.36, 5.40]"
Pre,4,time_of_report_16,1.3594671128162295,0.12159175342030089,3.0846515610124627,4.971500333338348,808,3.894117623419516,"3.89 [3.08, 4.97]"
Pre,4,time_of_report_22,0.675342549999236,0.13323412457866912,1.5181960702369002,2.561474404950573,808,1.9647058707077314,"1.96 [1.52, 2.56]"
Pre,8,(Intercept),1.7579648743513312,0.037866919543597964,5.382827498981222,6.244223210172732,808,5.800620382610432,"5.80 [5.38, 6.24]"
Pre,8,quarter_2,-0.04648231216854829,0.03623595165394016,0.8891943753342832,1.0249246636608158,808,0.9545814448963506,"0.95 [0.89, 1.02]"
Pre,8,quarter_3,0.14860162677626845,0.032247009580860506,1.0894140856436876,1.2362194295417346,808,1.1602107002565603,"1.16 [1.09, 1.24]"
Pre,8,weekend_1,-0.08241562635430713,0.028774813444382423,0.8701743759866389,0.9740840762528323,808,0.9208891333524922,"0.92 [0.87, 0.97]"
Pre,8,time_of_report_12,0.5834721586410746,0.0358381345807646,1.6710574855493052,1.9231319845496309,808,1.7922506181296214,"1.79 [1.67, 1.92]"
Pre,8,time_of_report_16,0.45922855598429935,0.036677279634237475,1.473335464592012,1.7011723617960686,808,1.5828524318388482,"1.58 [1.47, 1.70]"
Pre,8,time_of_report_22,-0.39276782238091895,0.04522499951694715,0.6177456028863669,0.7375909773653648,808,0.6751854923491678,"0.68 [0.62, 0.74]"
Post,4,(Intercept),-1.5123655365314643,0.1166101596245144,0.17440248783339804,0.27554541535908994,1460,0.22038802492922435,"0.22 [0.17, 0.28]"
Post,4,quarter_1,-0.5424570947755767,0.11200718308879436,0.4655983223959238,0.722586661247573,1460,0.5813181423650228,"0.58 [0.47, 0.72]"
Post,4,quarter_2,0.4496179858164464,0.08647568237563712,1.3245334881202648,1.859384860278366,1460,1.5677131824121922,"1.57 [1.32, 1.86]"
Post,4,quarter_3,0.7946365767302311,0.08123326040616774,1.8906731884165628,2.6000698735152135,1460,2.21363636363637,"2.21 [1.89, 2.60]"
Post,4,weekend_1,-0.14433903067780982,0.0669246005770195,0.7580823213482805,0.9855830845548779,1460,0.8655942353067984,"0.87 [0.76, 0.99]"
Post,4,time_of_report_12,1.3862943611199092,0.10963225016233406,3.240785579671013,4.982990990627552,1460,4.000000000000075,"4.00 [3.24, 4.98]"
Post,4,time_of_report_16,1.3838876210893263,0.10965866439098308,3.232815518548798,4.971252077607378,1460,3.990384615384618,"3.99 [3.23, 4.97]"
Post,4,time_of_report_22,0.8278797745301039,0.11754601130908608,1.8233963970842533,2.892179678810328,1460,2.2884615384615428,"2.29 [1.82, 2.89]"
Post,8,(Intercept),1.2964576041457807,0.034385536836428116,3.416493829544822,3.9094979725699424,1460,3.656321561365518,"3.66 [3.42, 3.91]"
Post,8,quarter_1,-0.42385303779752886,0.0366745905630351,0.6090033929887734,0.7031718974090421,1460,0.6545200645513269,"0.65 [0.61, 0.70]"
Post,8,quarter_2,0.07894731265589229,0.03186064735759265,1.0166556231698884,1.1519084390201708,1460,1.0821473051008526,"1.08 [1.02, 1.15]"
Post,8,quarter_3,0.40825938166922426,0.029554282542425366,1.4196959268348133,1.5940877241781932,1460,1.50419727177335,"1.50 [1.42, 1.59]"
Post,8,weekend_1,-0.1901305115969021,0.025864394336901995,0.7858073933634446,0.8696616101300958,1460,0.8268512132288242,"0.83 [0.79, 0.87]"
Post,8,time_of_report_12,0.7180568934152952,0.03322099107997564,1.9216470966855954,2.1889425479115348,1460,2.05044510385754,"2.05 [1.92, 2.19]"
Post,8,time_of_report_16,0.7129788991883597,0.033248700895574274,1.911807602608888,2.1779710214389834,1460,2.040059347180999,"2.04 [1.91, 2.18]"
Post,8,time_of_report_22,-0.14247333000018333,0.03996588194458449,0.8018065200098229,0.9378132768643186,1460,0.8672106824925822,"0.87 [0.80, 0.94]"
Pre + Post,4,(Intercept),-1.3467818335078208,0.07854976378681894,0.2223779925865641,0.30260448344078983,2752,0.2600758828306001,"0.26 [0.22, 0.30]"
Pre + Post,4,quarter_1,-0.06525190181053203,0.061908295515736705,0.8295898467581816,1.0575300234307514,2752,0.9368314441148758,"0.94 [0.83, 1.06]"
Pre + Post,4,quarter_2,0.22470419293299748,0.05895878776362442,1.1153289587862643,1.405414971457436,2752,1.2519523250671039,"1.25 [1.12, 1.41]"
Pre + Post,4,quarter_3,0.5428172245284498,0.052852393224901255,1.552206468386426,1.909624146143024,2752,1.720848054969578,"1.72 [1.55, 1.91]"
Pre + Post,4,weekend_1,-0.0938568618495009,0.044306840191802005,0.8341828684582423,0.9924391615560431,2752,0.9104130677574082,"0.91 [0.83, 0.99]"
Pre + Post,4,time_of_report_12,1.4868759941219973,0.07550730660461352,3.8232460167487554,5.1411203078656165,2752,4.4232556357151696,"4.42 [3.82, 5.14]"
Pre + Post,4,time_of_report_16,1.4623936643608038,0.07567968494026689,3.7294569395757935,5.018394758294885,2752,4.3162788958311795,"4.32 [3.73, 5.02]"
