areaCode,areaName,areaType,date,newDeaths28DaysByDeathDate
K02000001,United Kingdom,overview,2021-07-27,19
K02000001,United Kingdom,overview,2021-07-26,39
K02000001,United Kingdom,overview,2021-07-25,54
K02000001,United Kingdom,overview,2021-07-24,58
K02000001,United Kingdom,overview,2021-07-23,67
K02000001,United Kingdom,overview,2021-07-22,61
K02000001,United Kingdom,overview,2021-07-21,46
K02000001,United Kingdom,overview,2021-07-20,51
K02000001,United Kingdom,overview,2021-07-19,77
K02000001,United Kingdom,overview,2021-07-18,64
K02000001,United Kingdom,overview,2021-07-17,50
K02000001,United Kingdom,overview,2021-07-16,49
K02000001,United Kingdom,overview,2021-07-15,52
K02000001,United Kingdom,overview,2021-07-14,40
K02000001,United Kingdom,overview,2021-07-13,47
K02000001,United Kingdom,overview,2021-07-12,36
K02000001,United Kingdom,overview,2021-07-11,32
K02000001,United Kingdom,overview,2021-07-10,41
K02000001,United Kingdom,overview,2021-07-09,45
K02000001,United Kingdom,overview,2021-07-08,37
K02000001,United Kingdom,overview,2021-07-07,28
K02000001,United Kingdom,overview,2021-07-06,31
K02000001,United Kingdom,overview,2021-07-05,28
K02000001,United Kingdom,overview,2021-07-04,28
K02000001,United Kingdom,overview,2021-07-03,28
K02000001,United Kingdom,overview,2021-07-02,27
K02000001,United Kingdom,overview,2021-07-01,21
K02000001,United Kingdom,overview,2021-06-30,21
K02000001,United Kingdom,overview,2021-06-29,23
K02000001,United Kingdom,overview,2021-06-28,12
K02000001,United Kingdom,overview,2021-06-27,20
K02000001,United Kingdom,overview,2021-06-26,16
K02000001,United Kingdom,overview,2021-06-25,20
K02000001,United Kingdom,overview,2021-06-24,21
K02000001,United Kingdom,overview,2021-06-23,7
K02000001,United Kingdom,overview,2021-06-22,13
K02000001,United Kingdom,overview,2021-06-21,16
K02000001,United Kingdom,overview,2021-06-20,23
K02000001,United Kingdom,overview,2021-06-19,22
K02000001,United Kingdom,overview,2021-06-18,13
K02000001,United Kingdom,overview,2021-06-17,6
K02000001,United Kingdom,overview,2021-06-16,11
K02000001,United Kingdom,overview,2021-06-15,19
K02000001,United Kingdom,overview,2021-06-14,9
K02000001,United Kingdom,overview,2021-06-13,10
K02000001,United Kingdom,overview,2021-06-12,13
K02000001,United Kingdom,overview,2021-06-11,6
K02000001,United Kingdom,overview,2021-06-10,11
K02000001,United Kingdom,overview,2021-06-09,7
K02000001,United Kingdom,overview,2021-06-08,8
