areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
overview,United Kingdom,K02000001,2021-05-13,2093,4448451
overview,United Kingdom,K02000001,2021-05-12,2284,4446358
overview,United Kingdom,K02000001,2021-05-11,2327,4444074
overview,United Kingdom,K02000001,2021-05-10,2866,4441747
overview,United Kingdom,K02000001,2021-05-09,2349,4438881
overview,United Kingdom,K02000001,2021-05-08,1579,4436532
overview,United Kingdom,K02000001,2021-05-07,1949,4434953
overview,United Kingdom,K02000001,2021-05-06,2311,4433004
overview,United Kingdom,K02000001,2021-05-05,2529,4430693
overview,United Kingdom,K02000001,2021-05-04,2605,4428164
overview,United Kingdom,K02000001,2021-05-03,2166,4425559
overview,United Kingdom,K02000001,2021-05-02,1524,4423393
overview,United Kingdom,K02000001,2021-05-01,1412,4421869
overview,United Kingdom,K02000001,2021-04-30,1760,4420457
overview,United Kingdom,K02000001,2021-04-29,2211,4418697
overview,United Kingdom,K02000001,2021-04-28,2524,4416486
overview,United Kingdom,K02000001,2021-04-27,2189,4413962
overview,United Kingdom,K02000001,2021-04-26,2685,4411773
overview,United Kingdom,K02000001,2021-04-25,2152,4409088
overview,United Kingdom,K02000001,2021-04-24,1524,4406936
overview,United Kingdom,K02000001,2021-04-23,1983,4405412
overview,United Kingdom,K02000001,2021-04-22,2379,4403429
overview,United Kingdom,K02000001,2021-04-21,2693,4401050
overview,United Kingdom,K02000001,2021-04-20,2470,4398357
overview,United Kingdom,K02000001,2021-04-19,2847,4395887
overview,United Kingdom,K02000001,2021-04-18,2623,4393040
overview,United Kingdom,K02000001,2021-04-17,1691,4390417
overview,United Kingdom,K02000001,2021-04-16,2279,4388726
overview,United Kingdom,K02000001,2021-04-15,2316,4386447
overview,United Kingdom,K02000001,2021-04-14,2493,4384131
overview,United Kingdom,K02000001,2021-04-13,2445,4381638
overview,United Kingdom,K02000001,2021-04-12,2881,4379193
overview,United Kingdom,K02000001,2021-04-11,2369,4376312
overview,United Kingdom,K02000001,2021-04-10,2307,4373943
overview,United Kingdom,K02000001,2021-04-09,2852,4371636
overview,United Kingdom,K02000001,2021-04-08,3053,4368784
overview,United Kingdom,K02000001,2021-04-07,3128,4365731
overview,United Kingdom,K02000001,2021-04-06,3145,4362603
overview,United Kingdom,K02000001,2021-04-05,2627,4359458
overview,United Kingdom,K02000001,2021-04-04,2298,4356831
overview,United Kingdom,K02000001,2021-04-03,2402,4354533
overview,United Kingdom,K02000001,2021-04-02,2623,4352131
overview,United Kingdom,K02000001,2021-04-01,3473,4349508
overview,United Kingdom,K02000001,2021-03-31,3759,4346035
overview,United Kingdom,K02000001,2021-03-30,3593,4342276
overview,United Kingdom,K02000001,2021-03-29,3979,4338683
overview,United Kingdom,K02000001,2021-03-28,4645,4334704
overview,United Kingdom,K02000001,2021-03-27,3535,4330059
overview,United Kingdom,K02000001,2021-03-26,4385,4326524
overview,United Kingdom,K02000001,2021-03-25,5394,4322139
overview,United Kingdom,K02000001,2021-03-24,6005,4316745
overview,United Kingdom,K02000001,2021-03-23,5254,4310740
overview,United Kingdom,K02000001,2021-03-22,6195,4305486
overview,United Kingdom,K02000001,2021-03-21,5234,4299291
overview,United Kingdom,K02000001,2021-03-20,4095,4294057
overview,United Kingdom,K02000001,2021-03-19,4991,4289962
overview,United Kingdom,K02000001,2021-03-18,5474,4284971
overview,United Kingdom,K02000001,2021-03-17,5775,4279497
overview,United Kingdom,K02000001,2021-03-16,5673,4273722
overview,United Kingdom,K02000001,2021-03-15,6504,4268049
overview,United Kingdom,K02000001,2021-03-14,4298,4261545
overview,United Kingdom,K02000001,2021-03-13,4240,4257247
overview,United Kingdom,K02000001,2021-03-12,5582,4253007
overview,United Kingdom,K02000001,2021-03-11,5768,4247425
overview,United Kingdom,K02000001,2021-03-10,6030,4241657
overview,United Kingdom,K02000001,2021-03-09,6221,4235627
overview,United Kingdom,K02000001,2021-03-08,6643,4229406
overview,United Kingdom,K02000001,2021-03-07,4272,4222763
overview,United Kingdom,K02000001,2021-03-06,4491,4218491
overview,United Kingdom,K02000001,2021-03-05,5298,4214000
overview,United Kingdom,K02000001,2021-03-04,5717,4208702
overview,United Kingdom,K02000001,2021-03-03,5965,4202985
overview,United Kingdom,K02000001,2021-03-02,6651,4197020
overview,United Kingdom,K02000001,2021-03-01,6876,4190369
overview,United Kingdom,K02000001,2021-02-28,4709,4183493
overview,United Kingdom,K02000001,2021-02-27,4815,4178784
overview,United Kingdom,K02000001,2021-02-26,6568,4173969
overview,United Kingdom,K02000001,2021-02-25,7714,4167401
overview,United Kingdom,K02000001,2021-02-24,8535,4159687
overview,United Kingdom,K02000001,2021-02-23,9382,4151152
overview,United Kingdom,K02000001,2021-02-22,11240,4141770
overview,United Kingdom,K02000001,2021-02-21,7869,4130530
overview,United Kingdom,K02000001,2021-02-20,8050,4122661
overview,United Kingdom,K02000001,2021-02-19,10379,4114611
overview,United Kingdom,K02000001,2021-02-18,11402,4104232
overview,United Kingdom,K02000001,2021-02-17,11561,4092830
overview,United Kingdom,K02000001,2021-02-16,12476,4081269
overview,United Kingdom,K02000001,2021-02-15,14262,4068793
overview,United Kingdom,K02000001,2021-02-14,8753,4054531
overview,United Kingdom,K02000001,2021-02-13,8753,4045778
overview,United Kingdom,K02000001,2021-02-12,12151,4037025
overview,United Kingdom,K02000001,2021-02-11,12739,4024874
overview,United Kingdom,K02000001,2021-02-10,13479,4012135
overview,United Kingdom,K02000001,2021-02-09,13793,3998656
overview,United Kingdom,K02000001,2021-02-08,15695,3984863
overview,United Kingdom,K02000001,2021-02-07,11356,3969168
overview,United Kingdom,K02000001,2021-02-06,11967,3957812
overview,United Kingdom,K02000001,2021-02-05,15841,3945845
overview,United Kingdom,K02000001,2021-02-04,17952,3930004
overview,United Kingdom,K02000001,2021-02-03,19394,3912052
overview,United Kingdom,K02000001,2021-02-02,19751,3892658
overview,United Kingdom,K02000001,2021-02-01,22340,3872907
overview,United Kingdom,K02000001,2021-01-31,15371,3850567
overview,United Kingdom,K02000001,2021-01-30,16668,3835196
overview,United Kingdom,K02000001,2021-01-29,21773,3818528
overview,United Kingdom,K02000001,2021-01-28,24136,3796755
overview,United Kingdom,K02000001,2021-01-27,25666,3772619
overview,United Kingdom,K02000001,2021-01-26,26968,3746953
overview,United Kingdom,K02000001,2021-01-25,29900,3719985
overview,United Kingdom,K02000001,2021-01-24,17159,3690085
overview,United Kingdom,K02000001,2021-01-23,21822,3672926
overview,United Kingdom,K02000001,2021-01-22,29526,3651104
overview,United Kingdom,K02000001,2021-01-21,31659,3621578
overview,United Kingdom,K02000001,2021-01-20,35091,3589919
overview,United Kingdom,K02000001,2021-01-19,39466,3554828
overview,United Kingdom,K02000001,2021-01-18,44765,3515362
overview,United Kingdom,K02000001,2021-01-17,28842,3470597
overview,United Kingdom,K02000001,2021-01-16,30527,3441755
overview,United Kingdom,K02000001,2021-01-15,40402,3411228
overview,United Kingdom,K02000001,2021-01-14,42366,3370826
overview,United Kingdom,K02000001,2021-01-13,45381,3328460
overview,United Kingdom,K02000001,2021-01-12,49381,3283079
overview,United Kingdom,K02000001,2021-01-11,57099,3233698
