areaType,areaName,areaCode,date,newDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDate
overview,United Kingdom,K02000001,2021-05-14,1,127679
overview,United Kingdom,K02000001,2021-05-13,6,127678
overview,United Kingdom,K02000001,2021-05-12,9,127672
overview,United Kingdom,K02000001,2021-05-11,14,127663
overview,United Kingdom,K02000001,2021-05-10,6,127649
overview,United Kingdom,K02000001,2021-05-09,8,127643
overview,United Kingdom,K02000001,2021-05-08,6,127635
overview,United Kingdom,K02000001,2021-05-07,7,127629
overview,United Kingdom,K02000001,2021-05-06,11,127622
overview,United Kingdom,K02000001,2021-05-05,11,127611
overview,United Kingdom,K02000001,2021-05-04,10,127600
overview,United Kingdom,K02000001,2021-05-03,8,127590
overview,United Kingdom,K02000001,2021-05-02,12,127582
overview,United Kingdom,K02000001,2021-05-01,8,127570
overview,United Kingdom,K02000001,2021-04-30,8,127562
overview,United Kingdom,K02000001,2021-04-29,13,127554
overview,United Kingdom,K02000001,2021-04-28,14,127541
overview,United Kingdom,K02000001,2021-04-27,11,127527
overview,United Kingdom,K02000001,2021-04-26,11,127516
overview,United Kingdom,K02000001,2021-04-25,15,127505
overview,United Kingdom,K02000001,2021-04-24,8,127490
overview,United Kingdom,K02000001,2021-04-23,21,127482
overview,United Kingdom,K02000001,2021-04-22,16,127461
overview,United Kingdom,K02000001,2021-04-21,24,127445
overview,United Kingdom,K02000001,2021-04-20,19,127421
overview,United Kingdom,K02000001,2021-04-19,17,127402
overview,United Kingdom,K02000001,2021-04-18,16,127385
overview,United Kingdom,K02000001,2021-04-17,21,127369
overview,United Kingdom,K02000001,2021-04-16,17,127348
overview,United Kingdom,K02000001,2021-04-15,21,127331
overview,United Kingdom,K02000001,2021-04-14,17,127310
overview,United Kingdom,K02000001,2021-04-13,20,127293
overview,United Kingdom,K02000001,2021-04-12,27,127273
overview,United Kingdom,K02000001,2021-04-11,21,127246
overview,United Kingdom,K02000001,2021-04-10,24,127225
overview,United Kingdom,K02000001,2021-04-09,23,127201
overview,United Kingdom,K02000001,2021-04-08,35,127178
overview,United Kingdom,K02000001,2021-04-07,28,127143
overview,United Kingdom,K02000001,2021-04-06,28,127115
overview,United Kingdom,K02000001,2021-04-05,17,127087
overview,United Kingdom,K02000001,2021-04-04,25,127070
overview,United Kingdom,K02000001,2021-04-03,30,127045
overview,United Kingdom,K02000001,2021-04-02,28,127015
overview,United Kingdom,K02000001,2021-04-01,31,126987
overview,United Kingdom,K02000001,2021-03-31,38,126956
overview,United Kingdom,K02000001,2021-03-30,42,126918
overview,United Kingdom,K02000001,2021-03-29,34,126876
overview,United Kingdom,K02000001,2021-03-28,34,126842
overview,United Kingdom,K02000001,2021-03-27,36,126808
overview,United Kingdom,K02000001,2021-03-26,48,126772
overview,United Kingdom,K02000001,2021-03-25,45,126724
overview,United Kingdom,K02000001,2021-03-24,39,126679
overview,United Kingdom,K02000001,2021-03-23,49,126640
overview,United Kingdom,K02000001,2021-03-22,64,126591
overview,United Kingdom,K02000001,2021-03-21,80,126527
overview,United Kingdom,K02000001,2021-03-20,64,126447
overview,United Kingdom,K02000001,2021-03-19,70,126383
overview,United Kingdom,K02000001,2021-03-18,59,126313
overview,United Kingdom,K02000001,2021-03-17,78,126254
overview,United Kingdom,K02000001,2021-03-16,81,126176
overview,United Kingdom,K02000001,2021-03-15,90,126095
overview,United Kingdom,K02000001,2021-03-14,94,126005
overview,United Kingdom,K02000001,2021-03-13,105,125911
overview,United Kingdom,K02000001,2021-03-12,93,125806
overview,United Kingdom,K02000001,2021-03-11,119,125713
overview,United Kingdom,K02000001,2021-03-10,115,125594
overview,United Kingdom,K02000001,2021-03-09,134,125479
overview,United Kingdom,K02000001,2021-03-08,142,125345
overview,United Kingdom,K02000001,2021-03-07,131,125203
overview,United Kingdom,K02000001,2021-03-06,153,125072
overview,United Kingdom,K02000001,2021-03-05,169,124919
overview,United Kingdom,K02000001,2021-03-04,154,124750
overview,United Kingdom,K02000001,2021-03-03,146,124596
overview,United Kingdom,K02000001,2021-03-02,182,124450
overview,United Kingdom,K02000001,2021-03-01,224,124268
overview,United Kingdom,K02000001,2021-02-28,211,124044
